"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Tue Jun 04 11:58:35 GMT 2024","Tue Jun 04 11:58:36 GMT 2024","1","Surefire suite","Surefire test","TestTest","TestTest","testFail","testFail",""
"passed","Tue Jun 04 11:58:36 GMT 2024","Tue Jun 04 11:58:36 GMT 2024","11","Surefire suite","Surefire test","TestTest","TestTest","testPass","testPass",""
