"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 04 10:31:39 GMT 2024","Tue Jun 04 10:31:39 GMT 2024","9","Surefire suite","Surefire test","TestTest","TestTest","testPass","testPass",""
"unknown","Tue Jun 04 10:31:39 GMT 2024","Tue Jun 04 10:31:39 GMT 2024","1","Surefire suite","Surefire test","TestTest","TestTest","testFail","testFail",""
